image,text
data/synthetic/urdu_1.png,پاکستان زندہ باد
data/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
data/synthetic/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/synthetic/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/synthetic/urdu_5.png,محنت کامیابی کی کنجی ہے
data/synthetic/urdu_6.png,علم ایک طاقت ہے
data/synthetic/urdu_7.png,صبر کا پھل میٹھا ہوتا ہے
data/synthetic/urdu_8.png,پاکستان کا قومی کھیل ہاکی ہے
data/synthetic/urdu_9.png,اسلام آباد پاکستان کا دارالحکومت ہے
data/synthetic/urdu_10.png,پانی زندگی ہے
data/synthetic/urdu_11.png,کتاب انسان کی بہترین دوست ہے
data/synthetic/urdu_12.png,عید مبارک
data/synthetic/urdu_13.png,جمعہ مبارک
data/synthetic/urdu_14.png,اللہ اکبر
data/synthetic/urdu_15.png,نیکی کر دریا میں ڈال
data/synthetic/urdu_16.png,وقت بہت قیمتی ہے
data/synthetic/urdu_17.png,صحت بہت بڑی نعمت ہے
data/synthetic/urdu_18.png,مادر وطن سے محبت
data/synthetic/urdu_19.png,اتحاد تنظیم یقین محکم
data/synthetic/urdu_20.png,سچائی کی ہمیشہ جیت ہوتی ہے
data/raw/newspaper/news_screenshot_001.png,ایران کی امریکی حملوں میں 50 افراد کی ہلاکت کی تصدیق
data/raw/newspaper/news_screenshot_002.png,فیچر اور تجزیے
data/raw/newspaper/news_screenshot_003.png,پاکستان میں ڈیزل 31.05 اور پٹرول 5.44 روپے مہنگا
data/raw/newspaper/news_screenshot_004.png,پاکستان کے خلاف 365 رنز کی ناقابل شکست اننگز
data/raw/newspaper/news_screenshot_005.png,زیارت حملے کے خلاف دھرنا ختم
data/raw/newspaper/news_screenshot_006.png,بی بی سی اردو اب واٹس ایپ پر
data/raw/newspaper/news_screenshot_007.png,سبسکرائب کرنے کے لیے کلک کریں
data/raw/newspaper/news_screenshot_008.png,روزنامہ جنگ
data/raw/newspaper/news_screenshot_009.png,تازہ ترین خبریں
data/raw/newspaper/news_screenshot_010.png,پاکستان کی خبریں
data/raw/newspaper/news_screenshot_011.png,کھیل کی خبریں
data/raw/newspaper/news_screenshot_012.png,عالمی خبریں
data/raw/newspaper/news_screenshot_013.png,تعلیم اور صحت
data/raw/newspaper/news_screenshot_014.png,سائنس اور ٹیکنالوجی
data/raw/newspaper/news_screenshot_015.png,ایران امریکہ کشیدگی
